Date,Text,Link,Compensation,Employment Type,Images,Address
2022-01-05 18:09,Project Manager /Junior Architect 50K -75K,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-junior/7429135159.html,50K -75K,full-time,,"
        ,
We are looking for an Project Manager/ Junior Architect with at least 4+ years of experience in preparing architectural construction documents to file with the NYC Department of Buildings. ,
,
We are an architectural firm with an extensive number of completed new construction projects in NYC. ,
Tasks include preparing NB drawing sets for filling with NYC DOB,
Zoning Analysis, preparing floor plans, sections and elevations.,
Update submitted drawing sets according to examiner's objections.,
,
The candidate is expected to contribute from schematic design through the construction document phases. ,
Experience using Revit is required.,
,
Please send your resume and a set of construction documents along with your salary,
,
,
    "
2022-01-05 09:39,Architectural Senior Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-job/7428873923.html,salary commensurate with experience,full-time,,"
        ,
SBLM New York office looks for a highly motivated Senior Job Captain with 5-10 years of experience, specialized in commercial projects.  Must work well in a team setting, but also be self-motivated with initiative to carry out individual tasks.  Proficiency in AutoCAD and experience with online work sharing platforms is required, Revit skills a plus.  Positive approach and solid communication skills are a must. Ideal candidate will be well-organized, detail-oriented, and accustomed to working in a fast-paced environment, leading the production of multiple projects with tight deadlines. ,
,
Responsibilities include, but not limited to: ,
Coordinate and develop construction documents,
Take on technically challenging issues with Project Manager,
Perform code and zoning analyses,
Review and redline drawings,
Oversee drafters, as required by the project,
Produce deliverables without requiring constant supervision,
Coordinate with clients and consultants,
Organize and lead site visits and surveys,
Conduct material research and meet with vendor as necessary, to understand,
materials and products,
Take initiative to complete work,
,
Requirements:,
Bachelor’s Degree in Architecture,
5+ years’ experience in an Architect’s office and working on Commercial projects,
Proficient in AutoCAD, and other applicable industry software,
General understanding of codes and zoning,
General knowledge of building details and construction process,
Knowledge of Revit and SketchUp are desirable ,
Positive attitude and driven to succeed,
,
Compensation and Benefits:,
•	Competitive salary ,
•	Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Flexible Spending Plan, and more.,
•	Company Culture: learning and growth opportunities, rewarding projects, in-house continuing education and ongoing learning opportunities,
,
Interested candidates should forward samples of work and resume,
Please include Senior Job Captain in the subject. No phone calls, please.,
    "
2022-01-07 16:05,ENGINEER-Job captain,https://newyork.craigslist.org/que/egr/d/long-island-city-engineer-job-captain/7429940094.html,TBD,full-time,,"
        ,
Prime Architectural Woodworking Company in NYC is looking for an independent, experienced, ambitious and long term oriented Engineer.,
Requirements: Minimum 5 years experience in similar position. Excellent knowledge of wood technology and materials. High work ethic and motivation.,
Leadership qualities very helpful.,
Excellent working conditions, atmosphere, pay and benefits.,
Please email your resume, references and salary requirements.,
Only candidates from woodworking industry please apply.,
    "
2022-01-07 16:52,Freelance Intermediate Interior Designer/Architect  ,https://newyork.craigslist.org/brk/egr/d/brooklyn-freelance-intermediate/7429963209.html,Hourly,part-time,,"
        ,
Young, Williamsburg-based design office seeking freelance help for an Architect / Interior Designer position. Must be proficient in CAD and drafting, and possess strong interpersonal skills in directly interacting with our clients. We work mostly in residential and commercial renovations and interior design projects in North Brooklyn and Manhattan. Ideal candidate knows their way around a design project, can be hands on with both specifications, drafting, construction management and with clients. ,
,
Hybrid office. ,
,
Responsibilities:,
-Drafting and layout-Millwork drawings and detailing,
-Furniture and accessory specifications,
- Coordination with contractors,
,
Qualifications:,
- Minimum 3-5 years of experience working in architecture or interior design. Renovation experience preferred,
- ACAD + Adobe Photoshop/Illustrator Proficiency,
,
Please send resume, portfolio (or link to one) and hourly compensation requirements in response to this post as well as availability. ,
    "
2021-12-09 10:19,Mechanical Engineer,https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-engineer/7418503096.html,BOE,employee's choice,,"
        ,
We are looking for a mature, talented, and experienced Mechanical Engineer who is not afraid of steep engineering challenges. We are a very small company designing, engineer, and built manual linear motion systems for the Film industry. While we are established as a company making some of the finest camera slider systems and camera check-out systems, We have been working on new systems but we are some serious headwinds in making it work. Some think it is impossible to achieve. We are looking for that special mature individual (Retired is okay too) who will not give up until solutions are found. We are numerous projects in the pipeline. Part-time or full-time is ok with us. We just want to find the right person for our very unique engineering requirements. Someone who excels in solving complex mechanical problems and comes up with elegant and intuitive solutions. ,
,
If you are curious about our needs, feel free to contact us to discuss further. Salary and/or pay negotiable.    "
2021-12-09 16:22,Part Time Interior Designer- Wedding Event Center,https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-interior-designer/7418699206.html,please send hourly compensation requirements,part-time,,"
        ,
Part-Time New York Office-Based Position, NOT Remote ,
,
Our company owns office buildings and provides technology to larger organizations. We are seeking to convert some office space in a beautiful natural setting in Wisconsin to a wedding venue and event center with office space on the second floor. ,
,
We need assistance in sourcing products (chairs, furniture, lighting, etc.) from Alibaba, China, etc., incorporating those products into the space. We also need administrative support for the creation of this wedding space as well as other duties in our busy office on the Upper West Side. ,
,
Part Time Position,
In-Person office position on the Upper West Side, NOT a remote position.,
Possibility to extend if other administrative responsibilities are of interest.,
,
Responsibilities:,
- Research and purchasing products (chairs, furniture, lighting, etc.),
- Interior design of the space ,
- Compare and review design,
,
Qualifications:,
- Expertise in Microsoft Office and/or Google Suite,
- 2 years Experience in interior design,
,
Send resume and hourly compensation requirements in response to this post.    "
2021-12-09 16:51,MEP Mechanical and Electrical Engineer positions,https://newyork.craigslist.org/mnh/egr/d/new-york-mep-mechanical-and-electrical/7418713073.html,"Salary, Health Insurance",full-time,,"
        ,
Growing MEP firm in New York City is looking to add on a new team member. Seeking a self-motivated candidate who can grow with us. ,
,
Job responsibilities include:,
,
- Assist in design of MEP systems in commercial and residential projects ,
,
- Prepare construction documents under the guidance of lead engineers,
,
- Perform load calculations, code research ,
,
- Assist with site surveys ,
,
- Interact with contractors during the construction phase ,
,
- Learn about mechanical, electrical, plumbing, and fire protection systems ,
,
Preferred qualifications:,
,
- BS or MS in Mechanical or Electrical Engineering or similar degree,
,
- Minimum 3.2 GPA,
,
- Proficient at REVIT and AutoCAD ,
,
- Self-motivated, energetic, and willing to learn,
,
- Ability to multi-task, organize, and prioritize work,
,
- Strong problem solving and critical thinking skills    "
2022-01-07 17:35,Facade / Building Envelope Engineers & Architects,https://newyork.craigslist.org/mnh/egr/d/new-york-facade-building-envelope/7429983311.html,Commensurate with experience,full-time,,"
        ,
, ,

,, New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking resourceful architects and engineers to join us in executing a growing slate of challenging projects. Openings are available for qualified individuals with from entry level to 10 years' professional experience.  ,

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region.  ,

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques.  ,

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready.  ,

We offer an array of benefits and growth opportunities: ,
,

Our new Wall Street office is in the landmarked former Bankers Trust Company Building (Trowbridge & Livingston, 1912). The bright, spacious office on the 25th floor has high ceilings and views of lower Manhattan in four directions. Just steps from Federal Hall and Trinity Church, we’re easily accessible via public transportation: the 1, 2, 3, 4, 5, R, W, J, Z, and A/C lines all stop within a few blocks of our building. NYC Ferry access at Pier 11 is at the foot of Wall Street and the PATH World Trade Center station is nearby. ,

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. ,

With thanks for your interest, please note that only those candidates under consideration will be contacted. ,

For additional information on our firm’s services, approach, and projects, visit ,

    "
2021-12-09 17:16,EXPERIENCED ARCHITECT/ DRAFTER,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/7418724098.html,BASED ON EXPERIENCE,full-time,,"
        ,
LOOKING TO HIRE EXPERIENCED ARCHITECT/ DRAFTER MUST KNOW AND BE ABLE TO DO NYC  ZONING CALCULATIONS,  CODES REVIEW  AND PLAN REQUIREMENTS FOR DOB SUBMITTAL FAMILIAR WITH  DOB PAPERWORK. CLASS TWO DOB ID IS A PLUS. ,
,
REQUIREMENTS:,
- Must have 5-year Bachelor of Architecture degree and minimum 3 years working experience in single family residential design and mixed-use buildings ,
- Must have knowledge of NYC zoning and building codes,
- Must be able to develop design concepts into a full set of construction drawings independently,
- Must be a very organized team player with excellent communication skills. Must feel comfortable/confident to be the liaison between office, clients, contractors and consultants,
- Strong AutoCad skills ,
- Must be able to manage multiple projects EMAIL YOUR RESUME.    "
2021-12-29 13:39,Architect: Intermediate Level,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-intermediate-level/7426318037.html,commensurate with experience,full-time,"https://images.craigslist.org/00B0B_8m2S8s2RzqXz_0wg0id_600x450.jpg,https://images.craigslist.org/01313_4sYVEntTcEGz_0wg0lv_600x450.jpg,https://images.craigslist.org/00b0b_hNRTECnfxEVz_09E09E_600x450.jpg,https://images.craigslist.org/00v0v_8boqT5OQTzPz_0gw0b2_600x450.jpg","
        ,
Building Studio Architects is seeking a motivated, self-directed, proactive architect or architectural draftsperson. Our ideal candidate is organized, technically proficient in CAD drafting, knowledgeable about construction codes and standards, and is an excellent communicator.  You will participate in all phases of projects from schematic design, through construction documents and construction administration for both new construction, and renovations in the residential, commercial, and institutional sectors. You should be able to work both independently and in a team environment. ,
,
,
The job will involve:,
,
- Code research and compliance documentation,
- Schematic design through project completion including Client communications,
- All drafting and detailing for small projects of various sizes primarily in NYC,
- Administering junior staff: redlining and leading project teams,
- Coordinating engineering and other consultants,
 ,
,
Software skills required:,
,
- Autocad,
- Revit,
- Adobe Creative Suite,
 ,
Experience Level:,
- Bachelor's degree in Architecture or related field,
- at least 1 - 3 years experience in a comparable position, ideally in the NY Metro area,
,
Please apply directly through this site. No phone calls.,
,
- Resume,
- Cover Letter,
- Examples of work / Design portfolio,
- salary requirements,
- availability,
,
To ensure a safe environment for all employees, we are requiring proof of vaccination against Covid-19 to physically enter our office.,
,
Building Studio Architects is an Equal Opportunity Employer. Despite being a small office we have a diverse staff and are committed to inclusion. We are committed to hiring qualified candidates by maintaining diversity of all kinds. BIPOC, LGBTQIA, disabled, and any other qualified applicants are strongly encouraged to respond. Building Studio Architects ensures a work environment free from harassment and complies with all anti-discrimination policies as set forth by our local, state, and federal governments.,
,
,
Additional information: ,
,
- Benefits package includes health, dental and vision in addition to a supplemental wellness insurance program,
- Simple IRA with matching available after one year with the company,
- Paid time off and all major US holidays    "
2021-12-09 09:42,Cad Operator,https://newyork.craigslist.org/jsy/egr/d/newark-cad-operator/7418486817.html,Based on experience,full-time,,"
        ,
CAD Operator,
,
GEODesign is an engineering services company with over 25 years of experience in achieving exceptional client satisfaction for projects in various regions across the United States.,
,
We are seeking a full-time CAD operator to join our Newark, New Jersey office. This is an excellent opportunity for a candidate looking to leverage their experience by joining a growing organization that has a strong commitment to client satisfaction and employee well-being.   GEODesign offers strong growth potential and learning opportunities.,
,
Responsibilities,
•	Work with AUTOCAD system creating, modifying and releasing drawings under direct supervision.,
•	Preparation of design and construction related drawings.,
•	Review and integration of interdisciplinary construction documents (architectural, structural, civil, etc.) into geotechnical design drawings,
•	Coordination of document filings with clients and various reviewing agencies,
,
Requirements,
•	Strong knowledge of 2D drafting software such as AutoCAD LT. Knowledge of other drafting software such as AutoCAD, MicroStation, or Civil 3D is a plus.,
•	2 years of drafting experience.,
•	Ability to work independently and as part of a team.,
•	Solid understanding of CAD applications and best practices.,
•	Excellent time management skills,
•	Excellent written and verbal communication skills,
,
Qualifications,
•	AutoCAD LT: 2 years (Required),
•	AutoCAD 3D: 1 year (Preferred),
•	Civil 3D:1 year (Preferred),
•	MicroStation: 1 year (Preferred),
•	Degree from recognized CAD training facility or Associate’s degree in related field (Preferred),
•	U.S. work authorization,
,
Benefits,
•	401(k),
•	401(k) matching,
•	Health insurance,
•	Dental Insurance,
•	Vision Insurance,
•	Life insurance,
•	Paid time off,
,
Job Type,
•	Full time,
,
Schedule,
•	Monday to Friday,
,
Language,
•	English (Preferred),
,
Location,
•	Newark, NJ,
,
,
    "
2021-12-09 17:17,DRAFTER,https://newyork.craigslist.org/que/egr/d/richmond-hill-drafter/7418724754.html,based on experience,full-time,,"
        ,
DRAFTER /ASSISTANT  NEEDED FOR PROPERTY VIOLATION REMOVAL/ EXPEDITING COMPANY SEND YOUR RESUME TO amexpeditingservice123@gmail.com    "
2021-12-09 10:57,Architectural Senior Job Captain/Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-job/7418521691.html,salary commensurate with experience,full-time,,"
        ,
SBLM New York office looks for a highly motivated Senior Job Captain and Project Manager with 3+ years of experience, specialized in commercial / retail projects.  Must work well in a team setting, but also be self-motivated with initiative to carry out individual tasks.  Proficiency in AutoCAD, Revit and experience with online work sharing platforms is required, Revit skills a plus.  Positive approach and solid communication skills are a must. Ideal candidate will be well-organized, detail-oriented, and accustomed to working in a fast-paced environment, leading the production of multiple projects with tight deadlines. ,
,
Responsibilities include, but not limited to: ,
Coordinate and develop construction documents,
Take on technically challenging issues ,
Perform code and zoning analyses,
Review and redline drawings,
Oversee drafters, as required by the project,
Produce deliverables without requiring constant supervision,
Coordinate with clients and consultants,
Organize and lead site visits and surveys,
Conduct material research and meet with vendor as necessary, to understand materials and products,
Take initiative to complete work,
,
Requirements:,
Bachelor’s Degree in Architecture,
3+ years’ experience in an Architect’s office and working on Commercial, Retail or SCA projects,
Proficient in AutoCAD, Revit and other applicable industry software,
General understanding of codes and zoning,
General knowledge of building details and construction process,
Positive attitude and driven to succeed,
,
Compensation and Benefits:,
•	Competitive salary ,
•	Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Flexible Spending Plan, and more.,
•	Company Culture: learning and growth opportunities, rewarding projects, free educational ongoing learning,
,
Interested candidates should forward samples of work and resume.,
Please include Job Captain in the subject. No phone calls, please.,
    "
2021-12-10 12:17,Looking for freelance DOB expeditors,https://newyork.craigslist.org/mnh/egr/d/new-york-looking-for-freelance-dob/7419011040.html,$150 per trip,contract,,"
        ,
We are a small expediting company looking to work with a few freelance DOB filing representatives. Must have at least a Class 1 license. We are happy to work around your schedule.,
,
Most of our work is filed online, but we occasionally have something that needs to be dropped off at the DOB. This would include permit renewals with changes, permits that require a civil penalty to be paid, etc. We are looking for someone who can stop by our office in downtown Manhattan, pick up a few items from our mailbox, and then drop them off at the DOB (Manhattan mostly, sometimes Brooklyn). You would also ideally be able to print stickers and a borough intake form that we would send you.,
,
We may also ask you to send us any mail we received by stopping by a FedEx store and putting the mail we received in a FedEx envelope to be shipped using our FedEx account number.,
,
This would be something that happens every few weeks - sometimes more often. We are happy to work with your schedule and find days/times that work best.,
,
Payment would be made immediately following completion of a job. Payments are made via Chase QuickPay with Zelle, Venmo, etc. Whatever works for you.,
,
Finally, we may have opportunities for more work such as submitting applications at DEP's office. But please do not feel like you shouldn't apply if this is something you can't do or are unfamiliar with. This is just something additional that we are exploring.    "
2021-12-10 14:20,Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/7419082042.html,Compensation commensurate with experience,full-time,,"
        ,
We are an established and awarded small architectural firm located in Manhattan. Our projects cover public buildings and educational facilities. We are looking to hire talented individuals who have the potential and ambition for growth towards positions in office leadership.,
Our office organization enables staff members a hands-on experience. Working on multiple projects and different phases of work, including design, construction documents and job administration. Our transparent office environment provides exposure to all aspects of the practice.,
Qualifications:,
•	Be a US citizen or be permitted to work in the USA,
•	Professional degree in Architecture,
•	Skill in Autocad and presentation software. Revit capability a plus.,
•	USA experience in design, detailing and construction administration.,
•	Verbal and writing abilities.,
Work description:,
•	Participate in the design and production of multiple projects at all design and project administration phases.,
•	Attend site meetings and prepare minutes. Observe and document progress and quality of construction work.,
•	Communicate with in-house staff, consultants and clients.,
•	Demonstrate skill in the use of drafting and presentation software.,
,
We offer competitive salaries, health coverage and profit sharing.,
Interested candidates should email a cover letter, resume, work samples and requested compensation in PDF format.,
    "
